id,sex,weight,height,bmi
A00147,Male,83.91,1.7,28.97
A00220,Male,70.31,1.85,20.45
A00360,Male,75.75,1.75,24.66
A00367,Male,111.13,1.83,33.23
A01054,Male,75.3,1.7,26.0
A01072,Male,88.45,1.75,28.8
A01077,Male,81.65,1.73,27.37
A01148,Male,77.11,1.8,23.71
A01157,Male,93.89,1.83,28.07
A01181,Male,86.64,1.8,26.64
A01237,Male,88.0,1.85,25.59
A01258,Male,68.04,1.73,22.81
A01285,Male,84.82,1.73,28.43
A01349,Male,97.52,1.8,29.99
A01356,Male,97.07,1.73,32.54
A01365,Male,93.89,1.85,27.31
A01399,Male,82.1,1.73,27.52
A01411,Male,84.82,1.75,27.61
A01422,Male,68.04,1.83,20.34
A01457,Male,104.78,1.73,35.12
A01467,Male,76.66,1.78,24.25
A01531,Male,83.91,1.75,27.32
A01615,Male,83.91,1.9,23.12
A01676,Male,72.57,1.75,23.63
A01680,Male,72.57,1.78,22.96
A01681,Male,65.77,1.75,21.41
A01694,Male,63.5,1.7,21.93
A01729,Male,99.79,1.78,31.57
A01736,Male,81.19,1.68,28.89
A01759,Male,70.76,1.75,23.04
A01796,Male,75.75,1.6,29.58
A01806,Male,97.98,1.85,28.5
A01815,Male,102.06,1.73,34.21
A01824,Male,95.25,1.83,28.48
A01834,Male,90.72,1.9,25.0
A01860,Male,92.53,1.75,30.13
A01889,Male,95.25,1.65,34.95
A01906,Male,52.16,1.75,16.98
A01909,Male,63.5,1.75,20.67
A01929,Male,70.76,1.73,23.72
A01939,Male,83.46,1.8,25.66
A01950,Male,117.48,1.75,38.25
A01958,Male,68.04,1.75,22.15
A01990,Male,86.18,1.85,25.07
A01996,Male,68.49,1.78,21.67
A02005,Male,58.97,1.73,19.77
A02008,Male,68.04,1.68,24.21
A02049,Male,64.86,1.75,21.12
A02074,Male,97.52,1.78,30.85
A02077,Male,95.25,1.8,29.29
A02079,Male,83.46,1.68,29.7
A02088,Male,83.91,1.75,27.32
A02099,Male,72.57,1.75,23.63
A02133,Male,65.77,1.73,22.05
A02232,Male,63.5,1.7,21.93
A02244,Male,86.18,1.88,24.39
A02270,Male,110.68,1.98,28.2
A02306,Male,69.85,1.78,22.1
A02312,Male,74.84,1.68,26.63
A02350,Male,69.85,1.8,21.48
A02376,Male,92.08,1.75,29.98
A02436,Male,90.72,1.88,25.68
A06045,Male,90.72,1.9,25.0
A06264,Male,86.18,1.75,28.06
A06342,Male,93.44,1.68,33.25
A08064,Male,98.43,1.7,33.99
A08086,Male,100.24,1.8,30.82
A08095,Male,57.61,1.68,20.5
A08141,Male,136.08,1.78,43.05
A08225,Male,52.16,1.68,18.56
A08230,Male,68.04,1.7,23.49
A08240,Male,88.45,1.78,27.98
A08307,Male,90.72,1.83,27.12
A10002,Male,79.38,1.8,24.41
A10008,Male,102.51,1.8,31.52
A10037,Male,59.87,1.75,19.49
A10133,Male,104.33,1.8,32.08
A10157,Male,77.56,1.78,24.54
